symbol,entry_time,exit_time,side,source,R,reason
BTCUSD,2024-05-22 16:00:00+00:00,2024-05-22 19:00:00+00:00,long,trend,-1.2206707950758457,stop
BTCUSD,2024-05-22 23:00:00+00:00,2024-05-23 14:00:00+00:00,long,squeeze,-1.1726644930514298,stop
BTCUSD,2024-05-23 16:00:00+00:00,2024-05-23 19:00:00+00:00,long,squeeze,-1.1883525236467791,stop
BTCUSD,2024-05-23 22:00:00+00:00,2024-05-24 07:00:00+00:00,long,squeeze,-1.1300310269900886,stop
BTCUSD,2024-05-24 16:00:00+00:00,2024-05-24 18:00:00+00:00,long,trend,1.990196381070229,tp
BTCUSD,2024-05-24 21:00:00+00:00,2024-05-24 22:00:00+00:00,short,squeeze,2.0138986288125076,tp
BTCUSD,2024-05-26 10:00:00+00:00,2024-05-26 16:00:00+00:00,short,squeeze,1.7613616647731407,tp
BTCUSD,2024-05-27 03:00:00+00:00,2024-05-27 05:00:00+00:00,long,trend,-1.3164841379052508,stop
BTCUSD,2024-05-27 15:00:00+00:00,2024-05-27 16:00:00+00:00,long,trend,1.919490760996061,tp
BTCUSD,2024-05-27 18:00:00+00:00,2024-05-27 20:00:00+00:00,short,squeeze,1.964906736492625,tp
BTCUSD,2024-05-28 06:00:00+00:00,2024-05-29 05:00:00+00:00,long,squeeze,1.5865441476748674,timeout
BTCUSD,2024-05-29 18:00:00+00:00,2024-05-29 21:00:00+00:00,long,squeeze,-1.2401816912813928,stop
BTCUSD,2024-05-30 16:00:00+00:00,2024-05-30 18:00:00+00:00,short,squeeze,-1.2131638943167569,stop
BTCUSD,2024-05-31 18:00:00+00:00,2024-06-01 17:00:00+00:00,long,squeeze,1.0135469790849354,timeout
BTCUSD,2024-06-02 00:00:00+00:00,2024-06-02 10:00:00+00:00,short,squeeze,1.5727470180148375,tp
BTCUSD,2024-06-02 19:00:00+00:00,2024-06-03 02:00:00+00:00,short,trend,-1.3187892317466132,stop
BTCUSD,2024-06-03 04:00:00+00:00,2024-06-03 06:00:00+00:00,short,squeeze,-1.2799670211188474,stop
BTCUSD,2024-06-03 10:00:00+00:00,2024-06-03 13:00:00+00:00,short,squeeze,-1.2623486196672307,stop
BTCUSD,2024-06-04 15:00:00+00:00,2024-06-04 16:00:00+00:00,long,trend,1.9032610520677744,tp
BTCUSD,2024-06-04 20:00:00+00:00,2024-06-05 02:00:00+00:00,short,squeeze,-1.2081562083190007,stop
BTCUSD,2024-06-05 18:00:00+00:00,2024-06-05 19:00:00+00:00,short,squeeze,-1.2291322577789856,stop
BTCUSD,2024-06-06 17:00:00+00:00,2024-06-06 20:00:00+00:00,short,squeeze,1.859133197848154,tp
BTCUSD,2024-06-06 22:00:00+00:00,2024-06-07 12:00:00+00:00,long,squeeze,1.9521560307233254,tp
BTCUSD,2024-06-07 14:00:00+00:00,2024-06-07 14:00:00+00:00,short,squeeze,-1.3005289989057738,stop
BTCUSD,2024-06-09 15:00:00+00:00,2024-06-09 17:00:00+00:00,short,squeeze,-1.6083177193413531,stop
BTCUSD,2024-06-09 21:00:00+00:00,2024-06-10 08:00:00+00:00,short,squeeze,1.6905312684354927,tp
BTCUSD,2024-06-10 11:00:00+00:00,2024-06-10 14:00:00+00:00,long,squeeze,-1.472734291581137,stop
BTCUSD,2024-06-11 08:00:00+00:00,2024-06-11 10:00:00+00:00,long,squeeze,-1.2014043271633197,stop
BTCUSD,2024-06-11 12:00:00+00:00,2024-06-11 16:00:00+00:00,long,squeeze,-1.184768480366818,stop
BTCUSD,2024-06-12 15:00:00+00:00,2024-06-12 15:00:00+00:00,short,squeeze,-1.2332264229958532,stop
BTCUSD,2024-06-12 17:00:00+00:00,2024-06-12 19:00:00+00:00,short,squeeze,1.9856410938024405,tp
BTCUSD,2024-06-12 21:00:00+00:00,2024-06-12 21:00:00+00:00,short,trend,-1.1412086569518072,stop
BTCUSD,2024-06-13 18:00:00+00:00,2024-06-14 16:00:00+00:00,long,squeeze,-1.155455811744194,stop
BTCUSD,2024-06-14 19:00:00+00:00,2024-06-14 22:00:00+00:00,long,squeeze,1.9992069249251334,tp
BTCUSD,2024-06-16 16:00:00+00:00,2024-06-16 16:00:00+00:00,short,squeeze,-1.498105991544412,stop
