symbol,entry_time,exit_time,side,source,R,reason
SOLUSD,2024-04-30 03:00:00+00:00,2024-04-30 09:00:00+00:00,short,trend,2.111145798737962,tp
SOLUSD,2024-04-30 14:00:00+00:00,2024-04-30 16:00:00+00:00,long,squeeze,-1.0880770731707285,stop
SOLUSD,2024-05-02 17:00:00+00:00,2024-05-03 03:00:00+00:00,short,squeeze,-1.0784846043165484,stop
SOLUSD,2024-05-03 13:00:00+00:00,2024-05-03 13:00:00+00:00,long,squeeze,2.118860980036295,tp
SOLUSD,2024-05-04 13:00:00+00:00,2024-05-04 14:00:00+00:00,short,squeeze,-1.1226548249359496,stop
SOLUSD,2024-05-05 03:00:00+00:00,2024-05-06 02:00:00+00:00,long,squeeze,2.0743600886917903,tp
SOLUSD,2024-05-06 08:00:00+00:00,2024-05-06 09:00:00+00:00,short,squeeze,-1.1602480483782203,stop
SOLUSD,2024-05-06 12:00:00+00:00,2024-05-06 12:00:00+00:00,short,squeeze,-1.1008907188660122,stop
SOLUSD,2024-05-07 04:00:00+00:00,2024-05-07 22:00:00+00:00,short,squeeze,2.1211220739219705,tp
SOLUSD,2024-05-08 02:00:00+00:00,2024-05-08 05:00:00+00:00,long,squeeze,-1.0952428524910491,stop
SOLUSD,2024-05-08 08:00:00+00:00,2024-05-08 09:00:00+00:00,long,squeeze,-1.106611573903423,stop
SOLUSD,2024-05-08 14:00:00+00:00,2024-05-08 21:00:00+00:00,long,squeeze,-1.105074172185424,stop
SOLUSD,2024-05-08 23:00:00+00:00,2024-05-09 16:00:00+00:00,long,squeeze,2.1153903363914326,tp
SOLUSD,2024-05-09 18:00:00+00:00,2024-05-09 20:00:00+00:00,short,squeeze,-1.0971486935866934,stop
SOLUSD,2024-05-09 22:00:00+00:00,2024-05-09 23:00:00+00:00,short,squeeze,-1.0901252141982916,stop
SOLUSD,2024-05-10 17:00:00+00:00,2024-05-10 23:00:00+00:00,long,squeeze,-1.1024206332266118,stop
SOLUSD,2024-05-13 03:00:00+00:00,2024-05-13 03:00:00+00:00,short,trend,2.0520225857519767,tp
SOLUSD,2024-05-13 05:00:00+00:00,2024-05-13 05:00:00+00:00,long,squeeze,-1.1194329708568942,stop
SOLUSD,2024-05-13 07:00:00+00:00,2024-05-13 08:00:00+00:00,long,squeeze,2.0867346153846196,tp
SOLUSD,2024-05-13 17:00:00+00:00,2024-05-13 17:00:00+00:00,short,squeeze,-1.0907293303992438,stop
SOLUSD,2024-05-14 02:00:00+00:00,2024-05-14 02:00:00+00:00,short,squeeze,-1.0945904636632675,stop
SOLUSD,2024-05-15 17:00:00+00:00,2024-05-15 18:00:00+00:00,short,squeeze,-1.0999125168236812,stop
SOLUSD,2024-05-15 20:00:00+00:00,2024-05-15 21:00:00+00:00,short,squeeze,-1.091285075528707,stop
SOLUSD,2024-05-15 23:00:00+00:00,2024-05-16 00:00:00+00:00,short,squeeze,-1.0866426787741204,stop
SOLUSD,2024-05-16 17:00:00+00:00,2024-05-16 17:00:00+00:00,long,trend,-1.0944106874812378,stop
